,name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
0,Like A Rolling Stone,Bob Dylan,spotify:track:4hR2PmKODnlFa5fe8iWzeo,0.757,0.479,0.704,0,0.266,-6.858,0.0334,95.574,0.514,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
1,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,spotify:track:7fSGbZLhWlAiCC3HDPAULu,0.0348,0.725,0.853,0.127,0.196,-7.842,0.0353,136.282,0.904,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
2,Imagine - Remastered 2010,John Lennon,spotify:track:7pKfPomDEeI4TPT6EOYjn9,0.907,0.547,0.257,0.183,0.0935,-12.358,0.0252,75.752,0.169,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
3,What's Going On,Marvin Gaye,spotify:track:42PyxnviKRfOa8z39g8aZj,0.403,0.28,0.72,1.36e-06,0.394,-9.668,0.111,202.523,0.805,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
4,Respect,Aretha Franklin,spotify:track:3OYh9wHWqWD6bpmO3WQNlM,0.15,0.819,0.537,0.000218,0.0871,-5.223,0.0414,115.086,0.963,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
5,Good Vibrations - Remastered,The Beach Boys,spotify:track:2oF7FZHIJbzjeEXZ3D0Ku4,0.387,0.403,0.495,8.03e-06,0.147,-6.888,0.0312,132.912,0.38,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
6,Johnny B. Goode,Chuck Berry,spotify:track:4GHF75LwRT2Hsv9z3ZXpM8,0.759,0.533,0.871,0.000186,0.337,-6.085,0.0656,167.841,0.97,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
7,Hey Jude - Remastered 2015,The Beatles,spotify:track:3H7sv3Krffn15BufUuXzf3,0.0112,0.386,0.607,1.38e-05,0.088,-7.7,0.0261,147.207,0.532,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
8,Smells Like Teen Spirit,Nirvana,spotify:track:4hy4fb5D1KL50b3sng9cjw,1.62e-05,0.48,0.875,0.000751,0.103,-5.898,0.0429,116.754,0.826,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
9,"What'd I Say, Pt. 1 & 2 - 2005 Mono Remaster",Ray Charles,spotify:track:2eB8n7IbMSd0aoh0UtsRZK,0.732,0.399,0.534,0,0.434,-9.931,0.122,177.375,0.816,500 Greatest songs of all time by Rolling stone magazine (with 2010 update)
